Nombre,Slug,Tipo_actual,Tipo_propuesto,Servicio_1,Servicio_2,Servicio_3
"Psiquiko HIIT & Ride",psiquiko-hiit-ride,yoga,pilates,"Yoga","Pilates",""
"Puerto Cabero",puerto-cabero,yoga,yoga,"Yoga","Pilates",""
"Pulsaciones Gym Aguilar de Campoo",pulsaciones-gym-aguilar-de-campoo,yoga,pilates,"Yoga","Pilates",""
"Punt D' Esport",punt-d-esport,yoga,yoga,"Yoga","Pilates",""
"Pure Yoga Canarias",pure-yoga-canarias,meditation,ayurveda,"Ayurveda","Yoga","Pilates"
"Qactiva",qactiva,yoga,yoga,"Yoga","Pilates",""
"Qi en Movimiento",qi-en-movimiento,yoga,yoga,"Yoga","Pilates",""
"Qualia Centre Wellness",qualia-centre-wellness,meditation,ayurveda,"Ayurveda","Yoga","Pilates"
"QUALIFE LA MANGA | Entrenamiento y Pilates Máquina en La Manga",qualife-la-manga-entrenamiento-y-pilates,yoga,yoga,"Yoga","Pilates",""
"Quiere T Sport",quiere-t-sport,meditation,ayurveda,"Ayurveda","Yoga","Pilates"
"Quirochema | masaje - masajista - thai massage - quiromasajista - relajante - tailandés - centro holístico en malaga",quirochema-masaje-masajista-thai-massage,meditation,ayurveda,"Ayurveda","Yoga","Pilates"
"Quiroesencia",quiroesencia,meditation,ayurveda,"Ayurveda","Yoga","Pilates"
"Quirokinesis Tenerife | Dr.Joaquín Gnoffo",quirokinesis-tenerife-dr-joaquin-gnoffo,yoga,yoga,"Yoga","Pilates",""
"Radical Personalized Training",radical-personalized-training,yoga,yoga,"Yoga","Pilates",""
"Raíz yoga studio",raiz-yoga-studio,yoga,yoga,"Yoga","Pilates",""
"Raja Yoga Madrid",raja-yoga-madrid,yoga,yoga,"Yoga","Pilates",""
"RAK SAENG - Escuela y Centro de Masaje Tailandés en Madrid",rak-saeng-escuela-y-centro-de-masaje-tai,meditation,ayurveda,"Ayurveda","Yoga","Pilates"
"Rapa Nui Surfcamp & Surfschule Fuerteventura",rapa-nui-surfcamp-surfschule-fuerteventu,yoga,yoga,"Yoga","Pilates",""
"RASAYANA LONGEVIDAD",rasayana-longevidad,meditation,ayurveda,"Ayurveda","Yoga","Pilates"
"RAW YOGA STUDIO Vigo",raw-yoga-studio-vigo,yoga,yoga,"Yoga","Pilates",""
"ReAlign International YOGA School",realign-international-yoga-school,yoga,yoga,"Yoga","Pilates",""
"Reka Yoga Centro Integral",reka-yoga-centro-integral,yoga,yoga,"Yoga","Pilates",""
"relax & nature fuerteventura",relax-nature-fuerteventura,spa,ayurveda,"Ayurveda","Spa",""
"Relaxa't Reus",relaxa-t-reus,meditation,ayurveda,"Ayurveda","Yoga","Pilates"
"Renacer pilates reformer",renacer-pilates-reformer,yoga,yoga,"Yoga","Pilates",""
"Respira yoga sevilla",respira-yoga-sevilla,yoga,yoga,"Yoga","Pilates",""
"RESPIRA-Breathwork Belén Catalina",respira-breathwork-belen-catalina,yoga,yoga,"Yoga","Pilates",""
"RETIROS DE BIENESTAR & MINDFULNESS EVOLUCION CENTER",retiros-de-bienestar-mindfulness-evoluci,yoga,yoga,"Yoga","Pilates",""
"Retiros de yoga Taotrips",retiros-de-yoga-taotrips,yoga,yoga,"Yoga","Pilates",""
"Retiros del Búho. Asociación el Alma del Búho",retiros-del-buho-asociacion-el-alma-del-,yoga,yoga,"Yoga","Pilates",""
"Retiros yoga te transforma",retiros-yoga-te-transforma,yoga,yoga,"Yoga","Pilates",""
"Ro-Ki Massages Valencia",ro-ki-massages-valencia,meditation,ayurveda,"Ayurveda","Yoga","Pilates"
"Rocío Luque Yoga",rocio-luque-yoga,yoga,yoga,"Yoga","Pilates",""
"Royal Lleida",royal-lleida,yoga,yoga,"Yoga","Pilates",""
"Royal Thai Massage Center",royal-thai-massage-center,meditation,ayurveda,"Ayurveda","Yoga","Pilates"
"RST Personal Fitness Elda, Gimnasio · Entrenador personal | Pilates en Elda",rst-personal-fitness-elda-gimnasio-entre,yoga,yoga,"Yoga","Pilates",""
"Runachay Center",runachay-center,meditation,ayurveda,"Ayurveda","Yoga","Pilates"
